ad_id,Date_,Hour_,latitude,longitude,Business_Location_Flag,Collection_Point_InMarket,id_type,Total_coverage_of_id,Total_pings_of_id,Indoor_Flag,BuildingID,TMOCustCnt,TMO_FIagIn,Building,Home_Flag,Category,Industry,Indoor_Flag2
000bc770-1a29-4018-8fe9-a099971470ce,1/2/2022,22.20000076,47.69369125,-122.3073425,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Outdoor Location,B1139957,0,0,SFU,Yes,Category 4,,Indoor Location
000bc770-1a29-4018-8fe9-a099971470ce,1/2/2022,22.25,47.69369125,-122.3073425,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Outdoor Location,B1139957,0,0,SFU,Yes,Category 4,,Indoor Location
000bc770-1a29-4018-8fe9-a099971470ce,1/2/2022,22.29999924,47.69369125,-122.3073425,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Outdoor Location,B1139957,0,0,SFU,Yes,Category 4,,Indoor Location
000bc770-1a29-4018-8fe9-a099971470ce,1/2/2022,22.35000038,47.69369125,-122.3073425,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Outdoor Location,B1139957,0,0,SFU,Yes,Category 4,,Indoor Location
000bc770-1a29-4018-8fe9-a099971470ce,1/2/2022,22.39999962,47.69369125,-122.3073425,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Outdoor Location,B1139957,0,0,SFU,Yes,Category 4,,Indoor Location
000bc770-1a29-4018-8fe9-a099971470ce,1/2/2022,22.45000076,47.69369125,-122.3073425,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Outdoor Location,B1139957,0,0,SFU,Yes,Category 4,,Indoor Location
000bc770-1a29-4018-8fe9-a099971470ce,1/2/2022,22.5,47.69369125,-122.3073425,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Outdoor Location,B1139957,0,0,SFU,Yes,Category 4,,Indoor Location
000bc770-1a29-4018-8fe9-a099971470ce,1/3/2022,13,47.69369125,-122.3340988,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Indoor Location,B245847,0,0,SFU,No,,,Indoor Location
000bc770-1a29-4018-8fe9-a099971470ce,1/3/2022,13.05000019,47.69369125,-122.3340988,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Indoor Location,B245847,0,0,SFU,No,,,Indoor Location
000bc770-1a29-4018-8fe9-a099971470ce,1/3/2022,13.10000038,47.69369125,-122.3341217,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Indoor Location,B245847,0,0,SFU,No,,,Indoor Location
000bc770-1a29-4018-8fe9-a099971470ce,1/3/2022,13.14999962,47.69369125,-122.3341217,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Indoor Location,B245847,0,0,SFU,No,,,Indoor Location
000bc770-1a29-4018-8fe9-a099971470ce,1/3/2022,13.19999981,47.69369125,-122.3340988,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Indoor Location,B245847,0,0,SFU,No,,,Indoor Location
000bc770-1a29-4018-8fe9-a099971470ce,1/3/2022,13.25,47.69369125,-122.3341064,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Indoor Location,B245847,0,0,SFU,No,,,Indoor Location
000bc770-1a29-4018-8fe9-a099971470ce,1/3/2022,13.30000019,47.69369125,-122.3341217,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Indoor Location,B245847,0,0,SFU,No,,,Indoor Location
000bc770-1a29-4018-8fe9-a099971470ce,1/3/2022,13.35000038,47.69369125,-122.3341064,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Indoor Location,B245847,0,0,SFU,No,,,Indoor Location
000bc770-1a29-4018-8fe9-a099971470ce,1/3/2022,13.39999962,47.69369125,-122.3341217,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Indoor Location,B245847,0,0,SFU,No,,,Indoor Location
000bc770-1a29-4018-8fe9-a099971470ce,1/3/2022,13.44999981,47.69369125,-122.3341217,Not a Business Location,In Market Zip Boundary,Android,2070,3064,Indoor Location,B245847,0,0,SFU,No,,,Indoor Location
